TotalDailyDonation,DateofDonation,DonationAmount,Fees,DonationReceived
0,2/26/2024,0,0,0
0,2/25/2024,0,0,0
0,2/24/2024,0,0,0
1,2/23/2024,5.6,-0.6,5
0,2/22/2024,0,0,0
9,2/21/2024,318.71,-10.75,307.96
1,2/20/2024,100,-2.48,97.52
0,2/19/2024,0,0,0
0,2/18/2024,0,0,0
0,2/17/2024,0,0,0
0,2/16/2024,0,0,0
1,2/15/2024,10.7,-0.7,10
13,2/14/2024,155.22,-9.46,145.76
0,2/13/2024,0,0,0
0,2/12/2024,0,0,0
0,2/11/2024,0,0,0
0,2/10/2024,0,0,0
0,2/9/2024,0,0,0
0,2/8/2024,0,0,0
0,2/7/2024,0,0,0
0,2/6/2024,0,0,0
0,2/5/2024,0,0,0
0,2/4/2024,0,0,0
0,2/3/2024,0,0,0
0,2/2/2024,0,0,0
0,2/1/2024,0,0,0
